Fecha_Hora,codigoSerial,pm25,calidad_pm25,pm10,calidad_pm10,pm1,calidad_pm1,no,calidad_no,no2,calidad_no2,nox,calidad_nox,ozono,calidad_ozono,co,calidad_co,so2,calidad_so2,pst,calidad_pst,dviento_ssr,calidad_dviento_ssr,haire10_ssr,calidad_haire10_ssr,p_ssr,calidad_p_ssr,pliquida_ssr,calidad_pliquida_ssr,rglobal_ssr,calidad_rglobal_ssr,taire10_ssr,calidad_taire10_ssr,vviento_ssr,calidad_vviento_ssr
2022-09-03 12:00:00,12,31.0,1.0,42.0,1.0,-9999.0,1.0,6.175,1.0,15.2157,1.0,21.3906,1.0,-9999.0,1.0,-9999.0,1.0,0.613419,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2022-09-03 13:00:00,12,35.0,1.0,59.0,1.0,-9999.0,1.0,6.4611,1.0,23.3005,1.0,29.7616,1.0,-9999.0,1.0,-9999.0,1.0,0.905517,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2022-09-03 14:00:00,12,27.0,1.0,53.0,1.0,-9999.0,1.0,4.469,1.0,29.613,1.0,34.082,1.0,-9999.0,1.0,-9999.0,1.0,0.571825,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2022-09-03 15:00:00,12,28.0,1.0,47.0,1.0,-9999.0,1.0,1.1969,1.0,23.0854,1.0,24.2822,1.0,-9999.0,1.0,-9999.0,1.0,0.468645,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2022-09-03 16:00:00,12,12.0,1.0,22.0,1.0,-9999.0,1.0,6.4955,1.0,17.0129,1.0,23.5084,1.0,-9999.0,1.0,-9999.0,1.0,0.37464,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2022-09-03 17:00:00,12,14.0,1.0,37.0,1.0,-9999.0,1.0,8.3236,1.0,23.8319,1.0,32.1556,1.0,-9999.0,1.0,-9999.0,1.0,0.399146,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2022-09-03 18:00:00,12,21.0,1.0,48.0,1.0,-9999.0,1.0,15.8027,1.0,32.3429,1.0,48.1455,1.0,-9999.0,1.0,-9999.0,1.0,0.904613,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2022-09-03 19:00:00,12,29.0,1.0,53.0,1.0,-9999.0,1.0,23.5374,1.0,32.0803,1.0,55.6177,1.0,-9999.0,1.0,-9999.0,1.0,2.2694,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2022-09-03 20:00:00,12,36.0,1.0,67.0,1.0,-9999.0,1.0,47.6061,1.0,30.5802,1.0,78.1863,1.0,-9999.0,1.0,-9999.0,1.0,2.10298,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2022-09-03 21:00:00,12,27.0,1.0,53.0,1.0,-9999.0,1.0,68.7106,1.0,28.4085,1.0,97.119,1.0,-9999.0,1.0,-9999.0,1.0,1.74974,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
2022-09-03 22:00:00,12,16.0,1.0,41.0,1.0,-9999.0,1.0,16.7525,1.0,23.5962,1.0,40.3487,1.0,-9999.0,1.0,-9999.0,1.0,2.01012,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0
